date,region,service_type,demand_units,capacity_allocated,cost_usd,availability,is_weekend,market_demand_index,gdp_growth,customer_growth_rate,pricing_event,service_incident,industry_mix_index,year,month,day,day_of_week,quarter,lag_1,lag_7,rolling_mean_7,lag_30,lag_60,rolling_mean_30,week_of_year,is_summer,is_holiday_period,previous_year_demand,yoy_growth,economic_growth_interaction,time_index
2023-01-08,centralus,Compute,695.0,831.0,58.17,99.92,1,99.79,3.26,1.91,0,0,54.32,2023,1,8,6,1,1732.0,1106.5,1419.5714285714287,1889.0,1473.0,1217.6,1,0,0,1170.0,-40.598290598290596,6.2265999999999995,365
2023-01-09,centralus,Compute,2218.0,2587.0,181.28,99.97,0,85.56,3.49,4.73,0,0,82.61,2023,1,9,0,1,695.0,1106.5,1578.357142857143,497.0,1106.5,1274.9666666666667,2,0,0,1629.0,36.157151626764886,16.507700000000003,366
2023-01-10,centralus,Compute,721.0,901.25,63.89,99.96,0,123.23,2.09,2.89,0,0,54.74,2023,1,10,1,1,2218.0,2103.0,1380.9285714285713,532.0,895.0,1281.2666666666667,2,0,0,1221.0,-40.95004095004095,6.0401,367
2023-01-11,centralus,Compute,1106.5,1447.0,87.94,99.91,0,97.13,1.43,4.32,0,0,96.76,2023,1,11,2,1,721.0,1106.5,1380.9285714285713,727.0,650.0,1293.9166666666667,2,0,0,417.0,165.34772182254196,6.1776,368
2023-01-12,centralus,Compute,839.0,979.0,68.81,99.97,0,134.53,2.57,4.96,0,0,61.91,2023,1,12,3,1,1106.5,2010.0,1213.642857142857,1106.5,266.0,1285.0,2,0,0,1972.0,-57.454361054766736,12.7472,369
2023-01-13,centralus,Compute,1117.0,1435.0,93.12,99.89,0,112.95,3.2,2.92,0,0,63.67,2023,1,13,4,1,839.0,1184.0,1204.0714285714287,544.0,1106.5,1304.1,2,0,0,1436.0,-22.214484679665738,9.344,370
2023-01-14,centralus,Compute,1809.0,2298.0,157.94,99.9,1,120.45,2.53,1.11,0,0,51.63,2023,1,14,5,1,1117.0,1732.0,1215.0714285714287,1549.0,1622.0,1312.7666666666667,2,0,0,511.0,254.0117416829746,2.8083,371
2023-01-15,centralus,Compute,599.0,837.0,51.61,99.9,1,97.5,1.89,2.71,0,0,68.2,2023,1,15,6,1,1809.0,695.0,1201.357142857143,1931.0,1017.0,1268.3666666666666,2,0,0,712.0,-15.870786516853933,5.121899999999999,372
2023-01-16,centralus,Compute,1820.0,2147.0,154.70000000000002,99.86,0,101.29,3.76,3.03,0,0,99.75,2023,1,16,0,1,599.0,2218.0,1144.5,1106.5,431.0,1292.15,3,0,0,1724.0,5.56844547563805,11.3928,373
2023-01-17,centralus,Compute,2034.0,2447.0,165.66,99.86,0,93.33,1.26,1.96,0,0,99.58,2023,1,17,1,1,1820.0,721.0,1332.0714285714287,1402.0,1126.0,1313.2166666666667,3,0,0,1106.5,83.82286488929056,2.4696,374
2023-01-18,centralus,Compute,780.0,954.0,66.30000000000001,99.96,0,114.18,3.69,4.09,0,0,75.36,2023,1,18,2,1,2034.0,1106.5,1285.4285714285713,1690.0,701.0,1282.8833333333334,3,0,0,1007.0,-22.542204568023834,15.092099999999999,375
2023-01-19,centralus,Compute,894.0,1028.0,78.56,99.86,0,97.35,4.38,0.95,0,0,79.92,2023,1,19,3,1,780.0,839.0,1293.2857142857142,867.0,642.0,1283.7833333333333,3,0,0,693.0,29.004329004329005,4.161,376
2023-01-20,centralus,Compute,1106.5,826.0,48.19,99.99,0,125.79,2.37,3.77,0,0,52.55,2023,1,20,4,1,894.0,1117.0,1291.7857142857142,542.0,1106.5,1302.6,3,0,0,2165.0,-48.891454965357966,8.9349,377
2023-01-21,centralus,Compute,1291.0,1555.0,105.17,99.91,1,128.92,2.21,1.92,0,0,73.84,2023,1,21,5,1,1106.5,1809.0,1217.7857142857142,1838.0,1005.0,1284.3666666666666,3,0,0,1106.5,16.6741979213737,4.2432,378
2023-01-22,centralus,Compute,1373.0,1705.0,121.74,99.97,1,127.61,3.11,5.27,0,0,53.22,2023,1,22,6,1,1291.0,599.0,1328.357142857143,1707.0,685.0,1273.2333333333333,3,0,0,559.0,145.61717352415027,16.389699999999998,379
2023-01-23,centralus,Compute,2239.0,2898.21875,248.64,99.9,0,106.42,1.98,3.32,0,0,67.1,2023,1,23,0,1,1373.0,1820.0,1388.2142857142858,1179.0,1167.0,1308.5666666666666,4,0,0,1799.0,24.458032240133406,6.5736,380
2023-01-24,centralus,Compute,1482.0,1895.0,126.78,99.86,0,103.26,1.72,3.39,0,0,93.91,2023,1,24,1,1,2239.0,2034.0,1309.357142857143,596.0,1106.5,1338.1,4,0,0,397.0,273.2997481108312,5.8308,381
2023-01-25,centralus,Compute,2239.0,2898.21875,365.15,99.95,0,93.94,2.56,5.04,0,0,82.23,2023,1,25,2,1,1482.0,780.0,1517.7857142857142,2239.0,985.0,1338.1,4,0,0,1225.0,82.77551020408164,12.9024,382
2023-01-26,centralus,Compute,860.0,1071.0,74.56,99.96,0,93.93,1.59,0.54,0,0,88.64,2023,1,26,3,1,2239.0,894.0,1512.9285714285713,783.0,1415.0,1340.6666666666667,4,0,0,1906.0,-54.87932843651626,0.8586000000000001,383
2023-01-27,centralus,Compute,1106.5,1492.0,106.62,99.97,0,101.48,3.24,2.33,0,0,66.97,2023,1,27,4,1,860.0,1106.5,1512.9285714285713,1006.0,780.0,1344.0166666666667,4,0,0,1118.0,-1.0286225402504472,7.549200000000001,384
2023-01-28,centralus,Compute,1347.0,1858.0,108.86,99.87,1,121.67,2.07,4.48,0,0,59.6,2023,1,28,5,1,1106.5,1291.0,1520.9285714285713,1827.0,1475.0,1328.0166666666667,4,0,0,1763.0,-23.596142938173568,9.2736,385
2023-01-29,centralus,Compute,406.0,505.0,33.36,99.89,1,94.46,1.28,0.75,0,0,57.04,2023,1,29,6,1,1347.0,1373.0,1382.7857142857142,1106.5,517.0,1304.6666666666667,4,0,0,533.0,-23.827392120075046,0.96,386
2023-01-30,centralus,Compute,767.0,898.0,62.11,99.9,0,125.11,1.34,4.37,0,0,53.87,2023,1,30,0,1,406.0,2239.0,1172.5,709.0,1106.5,1306.6,5,0,0,1106.5,-30.6823316764573,5.8558,387
2023-01-31,centralus,Compute,1376.0,1762.0,122.76,99.99,0,92.84,2.84,2.21,0,0,84.47,2023,1,31,1,1,767.0,1482.0,1157.357142857143,1106.5,406.0,1315.5833333333333,5,0,0,680.0,102.35294117647058,6.2764,388
2023-02-01,centralus,Compute,2239.0,2898.21875,195.32,99.99,0,89.0,2.86,3.32,0,0,96.98,2023,2,1,2,1,1376.0,2239.0,1157.357142857143,1106.5,1294.0,1353.3333333333333,5,0,0,1106.5,102.34975146859466,9.495199999999999,389
2023-02-02,centralus,Compute,2239.0,2898.21875,287.48,99.97,0,114.75,3.87,1.25,0,0,68.5,2023,2,2,3,1,2239.0,860.0,1354.357142857143,2103.0,667.0,1357.8666666666666,5,0,0,2067.0,8.321238509917755,4.8375,390
2023-02-03,centralus,Compute,2033.0,2657.0,174.66,99.87,0,88.99,1.63,1.03,0,0,50.25,2023,2,3,4,1,2239.0,1106.5,1486.7142857142858,1106.5,947.0,1388.75,5,0,0,2207.0,-7.884005437245128,1.6788999999999998,391
2023-02-04,centralus,Compute,1250.0,1449.0,106.25,99.9,1,128.6,2.5,3.57,0,0,75.02,2023,2,4,5,1,2033.0,1347.0,1472.857142857143,2010.0,597.0,1363.4166666666667,5,0,0,857.0,45.85764294049008,8.924999999999999,392
2023-02-05,centralus,Compute,381.0,481.0,33.98,99.95,1,87.56,4.03,3.42,0,0,88.74,2023,2,5,6,1,1250.0,406.0,1469.2857142857142,1184.0,674.0,1336.65,5,0,0,1271.0,-70.02360346184106,13.7826,393
2023-02-06,centralus,Compute,1504.0,2036.0,124.03,99.99,0,108.79,3.57,4.23,0,0,60.87,2023,2,6,0,1,381.0,767.0,1574.5714285714287,1732.0,534.0,1329.05,6,0,0,1509.0,-0.33134526176275675,15.1011,394
2023-02-07,centralus,Compute,1932.0,2354.0,170.83,99.97,0,123.16,2.57,5.3,0,0,71.64,2023,2,7,1,1,1504.0,1376.0,1654.0,695.0,1889.0,1370.2833333333333,6,0,0,1628.0,18.67321867321867,13.620999999999999,395
2023-02-08,centralus,Compute,2239.0,2898.21875,478.05,99.85,0,128.72,3.05,1.81,0,0,63.81,2023,2,8,2,1,1932.0,2239.0,1654.0,2218.0,497.0,1370.9833333333333,6,0,0,1232.0,81.73701298701299,5.5205,396
2023-02-09,centralus,Compute,2239.0,2898.21875,509.49,99.88,0,96.18,4.05,3.17,0,0,58.67,2023,2,9,3,1,2239.0,2239.0,1654.0,721.0,532.0,1421.5833333333333,6,0,0,1393.0,60.732232591529076,12.8385,397
2023-02-10,centralus,Compute,2239.0,2640.0,184.4,99.96,0,112.95,3.91,1.52,1,0,72.63,2023,2,10,4,1,2239.0,2033.0,1683.4285714285713,1106.5,727.0,1459.3333333333333,6,0,0,2239.0,0.0,5.9432,398
2023-02-11,centralus,Compute,1474.0,1871.0,129.12,99.94,1,95.05,2.68,4.37,0,0,76.99,2023,2,11,5,1,2239.0,1250.0,1715.4285714285713,839.0,1106.5,1480.5,6,0,0,1186.0,24.283305227655987,11.7116,399
