date,region,service_type,demand_units,capacity_allocated,cost_usd,availability,is_weekend,market_demand_index,gdp_growth,customer_growth_rate,pricing_event,service_incident,industry_mix_index,predicted_demand
2022-01-01,eastus,Compute,1772.0,2119.0,154.83,99.93,1,107.29,1.53,3.03,0,0,82.54,1421.7986
2022-01-01,eastus,Storage,569.0,772.0,12.16,100.8,1,94.17,2.2,3.39,0,0,80.59,1362.9418
2022-01-01,westeurope,Compute,2064.0,2493.0,168.26,99.94,1,104.12,4.44,3.07,0,0,72.52,1291.1497
2022-01-01,westeurope,Storage,485.0,674.0,11.0,99.89,1,89.88,3.46,2.92,0,0,51.72,1301.0348
2022-01-01,southeastasia,Compute,434.0,518.0,37.83,99.91,1,95.4,3.07,0.67,0,0,69.76,1562.5798
2022-01-01,southeastasia,Storage,360.0,443.0,,100.8,1,133.06,3.99,4.61,0,0,98.26,1521.1226
2022-01-01,centralus,Compute,512.0,606.0,44.84,99.86,1,134.34,3.75,1.59,1,0,85.34,1337.9543
2022-01-01,centralus,Storage,866.0,1127.0,19.86,99.94,1,130.75,4.01,2.97,0,0,83.44,1240.7809
2022-01-01,uksouth,Compute,1055.0,1381.0,93.15,99.92,1,90.98,3.55,4.68,0,0,74.69,1402.86
2022-01-01,uksouth,Storage,518.0,610.0,11.33,99.88,1,129.79,2.77,3.6,0,0,80.22,1300.9265
2022-01-02,eastus,Compute,1857.0,2573.0,159.41,99.95,1,129.02,3.26,2.13,0,0,60.92,1338.5609
2022-01-02,eastus,Storage,607.0,779.0,,100.8,1,100.9,1.56,1.75,0,0,93.04,1762.6262
2022-01-02,westeurope,Compute,1930.0,2477.0,163.8,99.95,1,98.47,2.01,1.43,0,0,70.19,1521.4749
2022-01-02,westeurope,Storage,1123.0,1561.0,24.09,99.92,1,100.04,2.14,0.7,0,0,52.57,1295.8307
2022-01-02,southeastasia,Compute,1332.0,1758.0,113.57,99.91,1,112.64,3.16,0.94,0,0,90.16,1249.8309
2022-01-02,southeastasia,Storage,,1109.0,18.72,99.86,1,126.77,2.26,1.53,0,0,83.88,1526.2977
2022-01-02,centralus,Compute,738.0,998.0,61.78,99.86,1,132.03,2.51,3.35,0,0,86.76,1194.011
2022-01-02,centralus,Storage,315.0,417.0,6.74,99.87,1,134.11,2.9,1.93,0,0,77.91,1147.5956
