date,region,service_type,demand_units,capacity_allocated,cost_usd,availability,is_weekend,market_demand_index,gdp_growth,customer_growth_rate,pricing_event,service_incident,industry_mix_index
2022-01-01,eastus,Compute,1772.0,2119.0,154.83,99.93,1,107.29,1.53,3.03,0,0,82.54
2022-01-01,eastus,Storage,569.0,772.0,12.16,100.8,1,94.17,2.2,3.39,0,0,80.59
2022-01-01,westeurope,Compute,2064.0,2493.0,168.26,99.94,1,104.12,4.44,3.07,0,0,72.52
2022-01-01,westeurope,Storage,485.0,674.0,11.0,99.89,1,89.88,3.46,2.92,0,0,51.72
2022-01-01,southeastasia,Compute,434.0,518.0,37.83,99.91,1,95.4,3.07,0.67,0,0,69.76
2022-01-01,southeastasia,Storage,360.0,443.0,,100.8,1,133.06,3.99,4.61,0,0,98.26
2022-01-01,centralus,Compute,512.0,606.0,44.84,99.86,1,134.34,3.75,1.59,1,0,85.34
2022-01-01,centralus,Storage,866.0,1127.0,19.86,99.94,1,130.75,4.01,2.97,0,0,83.44
2022-01-01,uksouth,Compute,1055.0,1381.0,93.15,99.92,1,90.98,3.55,4.68,0,0,74.69
2022-01-01,uksouth,Storage,518.0,610.0,11.33,99.88,1,129.79,2.77,3.6,0,0,80.22
2022-01-02,eastus,Compute,1857.0,2573.0,159.41,99.95,1,129.02,3.26,2.13,0,0,60.92
2022-01-02,eastus,Storage,607.0,779.0,,100.8,1,100.9,1.56,1.75,0,0,93.04
2022-01-02,westeurope,Compute,1930.0,2477.0,163.8,99.95,1,98.47,2.01,1.43,0,0,70.19
2022-01-02,westeurope,Storage,1123.0,1561.0,24.09,99.92,1,100.04,2.14,0.7,0,0,52.57
2022-01-02,southeastasia,Compute,1332.0,1758.0,113.57,99.91,1,112.64,3.16,0.94,0,0,90.16
2022-01-02,southeastasia,Storage,,1109.0,18.72,99.86,1,126.77,2.26,1.53,0,0,83.88
2022-01-02,centralus,Compute,738.0,998.0,61.78,99.86,1,132.03,2.51,3.35,0,0,86.76
2022-01-02,centralus,Storage,315.0,417.0,6.74,99.87,1,134.11,2.9,1.93,0,0,77.91
2022-01-02,uksouth,Compute,1418.0,1750.0,118.71,99.95,1,129.86,4.13,4.79,0,0,58.08
2022-01-02,uksouth,Storage,546.0,,11.86,99.98,1,133.68,2.14,2.18,0,0,99.72
2022-01-03,eastus,Compute,2016.0,2482.0,175.58,99.94,0,127.46,3.37,3.63,0,0,63.26
2022-01-03,eastus,Storage,1314.0,1832.0,28.87,99.98,0,106.72,2.36,4.05,0,0,61.51
2022-01-03,westeurope,Compute,1505.0,1739.0,,99.87,0,132.02,4.35,5.53,0,1,96.42
2022-01-03,westeurope,Storage,872.0,1127.0,20.11,99.86,0,100.28,1.83,1.98,0,0,69.73
2022-01-03,southeastasia,Compute,875.0,1130.0,71.38,99.94,0,134.5,1.66,3.35,0,0,84.85
2022-01-03,southeastasia,Storage,972.0,1252.0,20.95,99.91,0,97.81,3.22,0.95,1,0,59.71
2022-01-03,centralus,Compute,1003.0,1166.0,88.55,99.85,0,113.94,2.65,4.2,0,0,99.09
2022-01-03,centralus,Storage,370.0,428.0,7.76,99.97,0,103.01,1.62,3.37,0,0,81.14
2022-01-03,uksouth,Compute,1708.0,2047.0,143.89,99.95,0,91.92,1.64,5.83,0,0,69.94
2022-01-03,uksouth,Storage,1053.0,1231.0,22.07,99.98,0,126.8,3.5,2.75,0,0,62.51
2022-01-04,eastus,Compute,2107.0,2770.0,175.15,99.98,0,121.89,3.03,3.86,0,0,67.8
2022-01-04,eastus,Storage,1029.0,1206.0,21.72,99.89,0,133.98,1.78,0.59,0,0,67.32
2022-01-04,westeurope,Compute,2128.0,,182.98,99.94,0,87.27,2.44,3.94,0,0,82.93
2022-01-04,westeurope,Storage,897.0,1243.0,,99.97,0,116.82,3.84,4.22,0,0,90.56
2022-01-04,southeastasia,Compute,1771.0,2207.0,157.48,99.98,0,94.79,1.43,1.05,1,0,84.15
2022-01-04,southeastasia,Storage,1010.0,,22.62,99.9,0,98.03,2.84,4.31,0,0,51.96
2022-01-04,centralus,Compute,1272.0,1552.0,104.63,99.96,0,125.34,4.47,2.77,0,0,67.04
2022-01-04,centralus,Storage,419.0,506.0,9.38,99.95,0,96.91,2.45,3.44,0,0,64.88
2022-01-04,uksouth,Compute,1509.0,1739.0,133.46,99.86,0,100.97,4.34,5.73,0,0,72.42
2022-01-04,uksouth,Storage,279.0,359.0,5.96,99.98,0,124.06,1.57,5.62,0,0,52.79
2022-01-05,eastus,Compute,2173.0,2689.0,177.63,99.87,0,123.08,3.24,1.06,0,0,53.64
2022-01-05,eastus,Storage,1380.0,1615.0,29.1,99.99,0,103.71,2.42,4.97,0,0,87.67
2022-01-05,westeurope,Compute,,2388.0,157.85,99.95,0,97.44,2.29,2.89,0,0,78.57
2022-01-05,westeurope,Storage,1092.0,1287.0,24.38,99.95,0,114.17,4.38,2.56,0,0,61.18
2022-01-05,southeastasia,Compute,438.0,610.0,37.44,99.9,0,87.17,4.25,5.56,0,0,53.77
2022-01-05,southeastasia,Storage,198.0,262.0,4.34,99.94,0,114.22,4.17,0.75,0,0,94.51
2022-01-05,centralus,Compute,1572.0,1939.0,129.21,99.94,0,104.41,1.96,1.96,0,0,72.66
2022-01-05,centralus,Storage,363.0,454.0,8.07,99.89,0,91.66,1.45,5.67,0,0,95.96
2022-01-05,uksouth,Compute,347.0,474.0,,99.85,0,103.82,3.87,5.93,0,0,69.04
2022-01-05,uksouth,Storage,1098.0,1492.0,24.08,99.91,0,98.67,1.39,5.26,0,0,99.83
2022-01-06,eastus,Compute,2574.0,3427.0,224.41,99.9,0,97.05,1.88,1.88,0,0,93.91
2022-01-06,eastus,Storage,931.0,1154.0,19.69,99.94,0,111.02,3.75,3.36,0,0,78.05
2022-01-06,westeurope,Compute,1433.0,1695.0,116.07,99.96,0,116.02,3.52,1.67,0,1,67.53
2022-01-06,westeurope,Storage,333.0,429.0,7.03,99.95,0,112.37,2.69,5.51,0,0,84.88
2022-01-06,southeastasia,Compute,1109.0,1532.0,,99.89,0,107.96,4.43,3.21,0,0,62.01
2022-01-06,southeastasia,Storage,263.0,310.0,5.58,99.87,0,117.04,1.8,2.4,0,0,83.38
2022-01-06,centralus,Compute,445.0,,36.57,99.89,0,93.85,1.49,1.16,0,0,68.21
2022-01-06,centralus,Storage,280.0,344.0,5.91,99.92,0,119.39,2.89,1.36,0,1,93.42
2022-01-06,uksouth,Compute,345.0,,28.47,99.9,0,109.23,3.24,2.53,0,0,51.83
2022-01-06,uksouth,Storage,518.0,684.0,11.79,99.95,0,86.52,4.06,2.45,0,0,86.87
2022-01-07,eastus,Compute,956.0,1300.0,77.92,99.92,0,96.66,2.33,3.11,0,0,73.98
2022-01-07,eastus,Storage,551.0,714.0,12.42,100.8,0,91.38,2.14,2.5,0,0,67.8
2022-01-07,westeurope,Compute,1587.0,2195.0,128.25,99.88,0,103.27,2.81,5.18,0,0,52.78
2022-01-07,westeurope,Storage,386.0,494.0,8.42,99.99,0,90.6,2.51,5.83,0,0,62.9
2022-01-07,southeastasia,Compute,813.0,1101.0,70.61,99.92,0,108.83,3.97,1.63,0,0,59.98
2022-01-07,southeastasia,Storage,689.0,812.0,15.33,100.8,0,114.06,1.71,3.15,0,0,66.83
2022-01-07,centralus,Compute,382.0,491.0,31.5,99.95,0,89.39,1.66,0.51,0,0,80.31
2022-01-07,centralus,Storage,702.0,970.0,,99.99,0,91.21,3.61,5.66,0,0,87.06
2022-01-07,uksouth,Compute,2738.0,3244.0,239.6,99.88,0,93.18,1.74,4.98,0,0,67.94
2022-01-07,uksouth,Storage,1010.0,1333.0,22.11,99.95,0,129.98,3.26,3.47,0,0,67.77
2022-01-08,eastus,Compute,1623.0,2086.0,,99.94,1,90.84,4.3,3.95,0,0,89.7
2022-01-08,eastus,Storage,1016.0,1356.0,22.52,99.99,1,122.62,3.53,4.78,0,0,85.7
2022-01-08,westeurope,Compute,936.0,1156.0,82.12,99.87,1,127.32,1.62,2.69,0,0,61.46
2022-01-08,westeurope,Storage,1139.0,1313.0,25.3,99.93,1,120.81,3.18,5.05,0,0,61.37
2022-01-08,southeastasia,Compute,277.0,384.0,22.73,99.93,1,110.29,3.22,0.6,0,0,78.26
2022-01-08,southeastasia,Storage,407.0,,9.09,99.96,1,103.72,1.43,0.93,0,0,95.53
2022-01-08,centralus,Compute,1170.0,,96.33,99.97,1,101.61,2.23,1.75,0,0,87.21
2022-01-08,centralus,Storage,369.0,424.0,7.98,99.91,1,111.87,4.24,2.4,0,0,72.61
